#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
25,"El Gallo, Gro.","El Gallo","Balsas","Guerrero","368.000","545.966","362.780","400.039","354.990","239.106",60
24,"Ing. Elías González Chávez, Jal.","Puente Calderón","Lerma-Santiago-Pacífico","Jalisco","1620.000","100.000","1618.000","80.000","1615.040","54.636",68
23,"Ing. Carlos Ramírez Ulloa, Gro.","El Caracol","Balsas","Guerrero","523.600","1202.398","521.000","1084.850","514.670","1191.260",110
22,"Lic. Eustaquio Buelna, Sin.","Guamuchil","Pacífico Norte","Sinaloa","68.850","264.950","63.540","80.080","59.230","18.850",24
21,"Danxhó, Méx.","Danxho","Aguas del Valle de México","México","2455.130","32.670","2454.000","31.050","2451.180","19.601",63
20,"De Gonzalo, Mich.","De Gonzalo","Lerma-Santiago-Pacífico","Michoacán","1534.900","10.000","1533.880","8.837","1532.230","0.414",5
19,"El Bosque, Mich.","El Bosque","Balsas","Michoacán","1743.000","250.500","1741.400","202.400","1731.670","109.160",54
18,"Cuquío, Jal.","Los Gigantes","Lerma-Santiago-Pacífico","Jalisco","1806.580","8.850","1805.500","7.500","1802.120","3.745",50
17,"El Cuarenta, Jal.","El Cuarenta","Lerma-Santiago-Pacífico","Jalisco","2001.950","38.960","1998.750","30.625","1995.750","23.225",76
16,"El Carrizo, B.C.","El Carrizo","Península de Baja California","Baja California","286.220","44.585","284.700","40.866","281.810","34.267",84
15,"José López Portillo, N.L.","Cerro Prieto","Río Bravo","Nuevo León","285.500","393.000","282.520","300.000","279.480","220.952",74
14,"Cajón de Peña, Jal.","Tomatlán o El Tule","Lerma-Santiago-Pacífico","Jalisco","139.200","707.690","130.370","466.690","121.220","267.818",57
13,"Copándaro, Mich.","Copándaro De Corrales","Lerma-Santiago-Pacífico","Michoacán","1989.210","9.717","1998.500","6.500","1997.970","5.108",79
12,"Coíntzio, Mich.","Cointzio","Lerma-Santiago-Pacífico","Michoacán","2001.320","79.233","1999.470","68.520","1991.860","33.691",49
11,"El Centenario, Qro.","El Centenario","Golfo Norte","Querétaro","1881.990","14.178","1881.580","9.882","1878.910","2.823",29
10,"El Centenario, Coah.","El Centenario","Río Bravo","Coahuila de Zaragoza","336.380","25.520","336.150","24.589","334.970","19.363",79
9,"Constitución de 1917, Qro.","Hidalgo","Golfo Norte","Querétaro","1928.450","75.300","1927.650","69.862","1916.390","9.948",14
8,"La Concepción, Méx.","La Concepción","Aguas del Valle de México","México","2352.540","13.700","2352.100","12.111","2346.840","7.435",61
7,"Ing. Andrew Weiss, Chih.","La Colina","Río Bravo","Chihuahua","1249.850","26.970","1249.100","23.670","1249.280","24.436",103
6,"Leonardo Rodríguez Alcaine, Nay.","El Cajón","Lerma-Santiago-Pacífico","Nayarit","394.000","2860.200","391.000","2551.700","380.620","1898.150",74
5,"Paso de Piedras, Ver.","Chicayán","Golfo Norte","Veracruz de Ignacio de la Llave","28.280","570.000","23.070","220.000","22.480","193.274",88
4,"Chihuahua, Chih.","Chihuahua","Río Bravo","Chihuahua","1544.280","35.631","1540.820","23.383","1538.090","16.091",69
3,"Cuauhtémoc, Son.","Santa Teresa","Noroeste","Sonora","600.250","66.330","597.000","41.470","587.710","4.541",11
2,"Constitución de Apatzingán, Mich.","Chilatan","Balsas","Jalisco","437.680","807.150","429.450","590.025","414.160","307.540",52
1,"El Palote, Gto.","El Palote","Lerma-Santiago-Pacífico","Guanajuato","1838.600","17.161","1836.150","9.643","1834.560","5.584",58[object Object]
